Entity,Code,Year,Share of global plastics emitted to ocean,Mismanaged plastic waste to ocean per capita (kg per year),"GDP per capita, PPP (constant 2017 international $)",Continent
Africa,,2019,7.98931654,0.059822761,,
Albania,ALB,2019,0.159782247,0.543214162,13653.249,
Algeria,DZA,2019,0.589509708,0.134113767,11627.28,
Angola,AGO,2019,0.087803663,0.027022781,6602.269,
Antigua and Barbuda,ATG,2019,0.000204195,0.020618557,23638.686,
Argentina,ARG,2019,0.422376457,0.09238293,22071.748,
Asia,,2019,80.99356991,0.172404698,,
Australia,AUS,2019,0.003267113,0.00126969,49420.94,
Bahamas,BHS,2019,0.002041946,0.051413882,34324.996,
Bahrain,BHR,2019,0.0,0.0,49768.977,
Bangladesh,BGD,2019,2.515677038,0.151122996,5467.2075,
Barbados,BRB,2019,0.004594378,0.156794425,16077.515,
Belgium,BEL,2019,0.003471308,0.002946529,51977.17,
Belize,BLZ,2019,0.038184384,0.958974359,8925.19,
Benin,BEN,2019,0.167337446,0.138886535,3156.4387,
Bosnia and Herzegovina,BIH,2019,0.000612584,0.001817631,14851.738,
Brazil,BRA,2019,3.859175176,0.179099739,14685.128,
Brunei,BRN,2019,0.013681036,0.309468822,61424.363,
Bulgaria,BGR,2019,0.000714681,0.001,23254.787,
Burkina Faso,BFA,2019,0.0,0.0,2106.0361,
Cambodia,KHM,2019,0.113634275,0.067507733,4464.2944,
Cameroon,CMR,2019,1.0894801,0.412389859,3756.5095,
Canada,CAN,2019,0.024299153,0.006361765,49169.12,
Cape Verde,CPV,2019,0.0,0.0,7743.479,
Chile,CHL,2019,0.032875325,0.016990291,24809.861,
China,CHN,2019,7.218992545,0.049314957,15977.764,
Colombia,COL,2019,0.044003929,0.00856195,14616.135,
Comoros,COM,2019,0.0,0.0,3290.6506,
Congo,COG,2019,0.069017763,0.125627207,4093.9907,
Costa Rica,CRI,2019,0.045943777,0.089144216,20818.062,
Cote d'Ivoire,CIV,2019,0.488433399,0.186024808,5132.342,
Croatia,HRV,2019,0.022869791,0.054237288,29412.422,
Cyprus,CYP,2019,0.000306292,0.002502085,41741.805,
Democratic Republic of Congo,COD,2019,0.042880859,0.004839211,1059.8921,
Denmark,DNK,2019,0.000918876,0.001559252,56813.965,
Djibouti,DJI,2019,0.000408389,0.004106776,4768.113,
Dominica,DMA,2019,0.005411156,0.736111111,12395.421,
Dominican Republic,DOM,2019,0.640762544,0.584411956,18171.06,
East Timor,TLS,2019,0.072999557,0.552977572,3740.4346,
Ecuador,ECU,2019,0.115982513,0.065385058,11390.217,
Egypt,EGY,2019,0.252282385,0.024614496,11780.962,
El Salvador,SLV,2019,0.082494604,0.125193678,9015.664,
Equatorial Guinea,GNQ,2019,0.041349399,0.298672566,16240.37,
Eritrea,ERI,2019,0.00490067,0.013726051,,
Estonia,EST,2019,0.001225167,0.009049774,36153.434,
Europe,,2019,0.595431351,0.007805317,,
Fiji,FJI,2019,0.037265508,0.41011236,13241.546,
Finland,FIN,2019,0.0,0.0,48583.434,
France,FRA,2019,0.023992861,0.003608168,45922.793,
French Guiana,GUF,2019,0.000714681,0.024054983,,
Gabon,GAB,2019,0.045433291,0.20478601,14478.002,
Gambia,GMB,2019,0.042982956,0.179301533,2083.309,
Georgia,GEO,2019,0.000306292,0.000750563,14989.258,
Germany,DEU,2019,0.013681036,0.001604464,53884.375,
Ghana,GHA,2019,0.427277127,0.13758301,5345.9414,
Greece,GRC,2019,0.022053013,0.020624463,29720.17,
Grenada,GRD,2019,0.013272647,1.160714286,15394.03,
Guadeloupe,GLP,2019,0.000408389,0.01,,
Guatemala,GTM,2019,0.729178791,0.406234003,8673.002,
Guinea,GIN,2019,0.239622322,0.183775742,2545.1401,
Guinea-Bissau,GNB,2019,0.025218029,0.128578865,1890.5331,
Guyana,GUY,2019,0.127213214,1.591315453,12820.503,
Haiti,HTI,2019,0.70743207,0.615200213,3112.296,
Honduras,HND,2019,0.24870898,0.249948697,5613.6606,
Hong Kong,HKG,2019,0.011434896,0.015061861,59592.035,
Iceland,ISL,2019,0.0,0.0,56615.305,
India,IND,2019,12.91663349,0.092587331,6617.13,
Indonesia,IDN,2019,5.751446208,0.208158135,11857.789,
Iran,IRN,2019,0.094746278,0.01119232,14084.354,
Iraq,IRQ,2019,0.006840518,0.001704401,10299.316,
Ireland,IRL,2019,0.011741187,0.02355592,86984.984,
Israel,ISR,2019,0.00336921,0.003873694,41151.008,
Italy,ITA,2019,0.042268275,0.006837325,42739.05,
Jamaica,JAM,2019,0.238295057,0.791723202,10244.366,
Japan,JPN,2019,0.187348513,0.014464764,41654.33,
Jordan,JOR,2019,0.000102097,9.9e-05,9534.661,
Kazakhstan,KAZ,2019,0.001327265,0.000700771,26351.805,
Kenya,KEN,2019,0.026443196,0.004926389,4601.2114,
Kiribati,KIR,2019,0.0,0.0,1963.5349,
Kuwait,KWT,2019,0.000714681,0.001663894,47314.797,
Latvia,LVA,2019,0.000918876,0.004719455,30438.453,
Lebanon,LBN,2019,0.069834541,0.099766628,17185.047,
Lesotho,LSO,2019,0.0,0.0,2435.2864,
Liberia,LBR,2019,0.269332631,0.534332591,1455.6377,
Libya,LBY,2019,0.089743511,0.129703409,22535.445,
Lithuania,LTU,2019,0.000714681,0.002536232,37198.875,
Madagascar,MDG,2019,0.079125394,0.028736698,1585.4717,
Malaysia,MYS,2019,7.463107147,2.287887324,27674.398,
Maldives,MDV,2019,0.0,0.0,20988.092,
Malta,MLT,2019,0.0,0.0,46438.664,
Marshall Islands,MHL,2019,0.0,0.0,5719.19,
Martinique,MTQ,2019,0.00224614,0.058510638,,
Mauritania,MRT,2019,0.012966355,0.028060097,5392.9326,
Mauritius,MUS,2019,0.0,0.0,23676.414,
Mexico,MEX,2019,0.358565656,0.027528689,20553.955,
Monaco,MCO,2019,0.0,0.0,,
Montenegro,MNE,2019,0.0,0.0,21534.09,
Morocco,MAR,2019,0.183775108,0.049352928,8217.599,
Mozambique,MOZ,2019,0.259735486,0.08377791,1290.1674,
Myanmar,MMR,2019,0.259735486,0.047071885,5214.3735,
Namibia,NAM,2019,0.000204195,0.000801603,10009.578,
Netherlands,NLD,2019,0.027668364,0.015850734,56784.04,
New Zealand,NZL,2019,0.006942615,0.014217019,43272.566,
Nicaragua,NIC,2019,0.149572519,0.223800794,5398.1074,
Nigeria,NGA,2019,1.903093343,0.092752931,5076.368,
North America,,2019,4.499120942,0.120204257,,
North Korea,PRK,2019,0.005104864,0.001948103,,
Norway,NOR,2019,0.0,0.0,64983.355,
Oceania,,2019,0.370715232,0.086189708,,
Oman,OMN,2019,0.000102097,0.000201005,33814.113,
Pakistan,PAK,2019,0.089130928,0.004031122,5157.5464,
Palau,PLW,2019,0.000714681,0.388888889,17799.605,
Palestine,PSE,2019,0.012047479,0.023690022,6245.4487,
Panama,PAN,2019,0.534683468,1.233396138,32788.332,
Papua New Guinea,PNG,2019,0.312315587,0.348564266,3947.9338,
Peru,PER,2019,0.026443196,0.007966779,12735.168,
Philippines,PHL,2019,36.38451062,3.296160641,8731.861,
Poland,POL,2019,0.002960821,0.000765414,33159.75,
Portugal,PRT,2019,0.007759393,0.007432036,34945.66,
Puerto Rico,PRI,2019,0.007248907,0.024207296,34792.65,
Qatar,QAT,2019,0.0,0.0,90762.4,
Reunion,REU,2019,0.0,0.0,,
Romania,ROU,2019,0.008167783,0.004131164,30001.105,
Russia,RUS,2019,0.055336727,0.003715586,27254.574,
Saint Kitts and Nevis,KNA,2019,0.000102097,0.018867925,31178.648,
Saint Lucia,LCA,2019,0.04584168,2.453551913,15460.798,
Saint Vincent and the Grenadines,VCT,2019,0.00826988,0.72972973,14183.188,
Samoa,WSM,2019,0.0,0.0,6346.2563,
Sao Tome and Principe,STP,2019,0.007861491,0.358139535,3482.0247,
Saudi Arabia,SAU,2019,0.000306292,8.75e-05,47024.543,
Senegal,SEN,2019,0.017254441,0.010370643,3430.484,
Seychelles,SYC,2019,0.0,0.0,29189.785,
Sierra Leone,SLE,2019,0.370000551,0.463842314,1655.8433,
Singapore,SGP,2019,0.016743954,0.028256375,98455.33,
Slovakia,SVK,2019,0.0,0.0,32056.78,
Slovenia,SVN,2019,0.00112307,0.005291005,39061.25,
Solomon Islands,SLB,2019,0.010209728,0.149253731,2616.9084,
Somalia,SOM,2019,0.000204195,0.000129509,1546.9055,
South Africa,ZAF,2019,0.435547007,0.072850849,13850.8955,
South Korea,KOR,2019,0.039511648,0.007554905,42758.59,
Spain,ESP,2019,0.023992861,0.005028136,40782.234,
Sri Lanka,LKA,2019,0.985647164,0.452729319,13639.021,
Sudan,SDN,2019,0.010822312,0.002475883,4133.1304,
Suriname,SUR,2019,0.171217143,2.886402754,18448.979,
Sweden,SWE,2019,0.003675502,0.003587086,52850.57,
Syria,SYR,2019,0.00449228,0.002577622,,
Taiwan,TWN,2019,0.054213657,0.022335324,,
Tanzania,TZA,2019,0.590632779,0.099732782,2578.8403,
Thailand,THA,2019,2.328430622,0.327550053,17997.133,
Togo,TGO,2019,0.044514415,0.053947043,2063.7588,
Tonga,TON,2019,0.0,0.0,6344.4214,
Trinidad and Tobago,TTO,2019,0.363160033,2.549820789,25698.006,
Tunisia,TUN,2019,0.07024293,0.058828559,11113.796,
Turkey,TUR,2019,1.462951959,0.171748771,28476.684,
Ukraine,UKR,2019,0.087701566,0.01952539,12804.955,
United Arab Emirates,ARE,2019,0.001429362,0.001432811,71782.16,
United Kingdom,GBR,2019,0.07177439,0.010410188,46909.08,
United States,USA,2019,0.248198493,0.007387598,62470.93,
Uruguay,URY,2019,0.101893088,0.288272675,23552.842,
Venezuela,VEN,2019,0.611358527,0.209987376,,
Vietnam,VNM,2019,2.881287406,0.292560801,10252.004,
Western Sahara,ESH,2019,0.003879697,0.065292096,,
Yemen,YEM,2019,0.025728515,0.008641383,,
Zimbabwe,ZWE,2019,0.0,0.0,2203.3967,
